"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""Increased level of actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000105"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased DNA area"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000140"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Microtubules disorganised"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000147"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Disorganised peripheral actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000274"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Large nuclei"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000140"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Nuclear actin ring"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000302"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Low eccentricity cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000118"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Binuclear"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000213"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased mitotic index"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000056"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""large nucleus"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000140"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Impaired cell migration with increased protrusive activity"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000309"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Impaired cell migration with increased protrusive activity"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000349"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Loss of cell monolayer"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000293"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Cell shape processes or spiky or stretchy """	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000267"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased width of lamellae"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000277"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased peripheral actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000272"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased number of cortical actin stress fibers"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000297"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased cell size"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000129"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""decreased NF-kB oscillation"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000330"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Elongated cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000077"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""increased proliferation"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000241"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Actin fiber cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000105"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""increased NF-kB oscillation"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000331"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased cytoplasmic actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000296"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Impaired cell migration"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000309"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased level of actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000106"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""reduced mitotic index"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000058"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Metaphase cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000305"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""cell death"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000030"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased DNA area"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000141"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Large cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000340"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""mild inhibition of secretion"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000318"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""No cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000301"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Multiple layers of cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000282"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Microtubule processes"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000351"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Bright nuclei"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000154"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Apoptotic DNA"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000262"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Microtubule nuclear ring"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000288"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased number of actin puncta or dots"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000291"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Intracellular retention of SH4(HASPB)-GFP"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000346"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000326"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Cell shape round or non-adherent"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000118"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Large"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000140"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""strange nuclear shape"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000157"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""nuclei stay close together"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000213"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Proliferating cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000241"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""enhanced secretion"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000246"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased number of zigzag actin stress fibers"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000299"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
